,,,,TAE[DBOC] in kJ/mol ,,,,
,,,,HF,cc-pVQZ,cc-pVQZ,cc-pVQZ,
Filename,H,C,Electrons,∆CCSD,Best,cc-pVTZ,cc-pVDZ,
18prod.xyz,12,7,54,18prod.xyz,0.752173194,N/A,0.752173194,
20react.xyz,6,5,36,20react.xyz,0.528399991,0.528399991,0.510671302,
20prod.xyz,6,5,36,20prod.xyz,0.51238024,0.51238024,0.491197969,
21react.xyz,6,5,36,21react.xyz,0.474086798,0.474086798,0.452353959,
22react.xyz,8,6,44,22react.xyz,0.604976899,0.604976899,0.578324136,
22prod.xyz,8,6,44,22prod.xyz,0.630603092,N/A,0.630603092,
23react.xyz,8,6,44,23react.xyz,0.63710593,0.63710593,0.61009006,
24react.xyz,8,6,44,24react.xyz,0.609568636,N/A,0.609568636,
25react.xyz,8,6,44,25react.xyz,0.645109767,0.645109767,0.623339909,
26react.xyz,8,6,44,26react.xyz,0.677523665,0.677523665,0.654569444,
26prod.xyz,8,6,44,26prod.xyz,0.62607673,N/A,0.62607673,
27react.xyz,8,6,44,27react.xyz,0.589944336,0.589944336,0.563692225,
27prod.xyz,8,6,44,27prod.xyz,0.629903921,0.629903921,0.604164832,
29react.xyz,8,6,44,29react.xyz,0.630107398,0.630107398,0.603955842,
29prod.xyz,8,6,44,29prod.xyz,0.665725193,0.665725193,0.63899524,
30react.xyz,10,7,52,30react.xyz,0.742648405,N/A,0.742648405,
30prod.xyz,10,7,52,30prod.xyz,0.74851771,N/A,0.74851771,
31react.xyz,10,7,52,31react.xyz,0.708774729,N/A,0.708774729,
31prod.xyz,10,7,52,31prod.xyz,0.700045204,N/A,0.700045204,
32react.xyz,10,7,52,32react.xyz,0.714966183,N/A,0.714966183,
32prod.xyz,10,7,52,32prod.xyz,0.731606077,N/A,0.731606077,
33react.xyz,10,7,52,33react.xyz,0.754061716,N/A,0.754061716,
33prod.xyz,10,7,52,33prod.xyz,0.737299999,N/A,0.737299999,
34react.xyz,10,7,52,34react.xyz,0.760904294,N/A,0.760904294,
34prod.xyz,10,7,52,34prod.xyz,0.773114444,N/A,0.773114444,
35react.xyz,10,7,52,35react.xyz,0.750618898,N/A,0.750618898,
35prod.xyz,10,7,52,35prod.xyz,0.7217489,N/A,0.7217489,
